#index median minimum maximum
forwarding.inet4 12828556 12801500 13079389
forwarding.inet6 14044336 13976191 14193526
ipf-stateful.inet4 730122 711699 733795
ipf-stateful.inet6 705437 691883 730569
ipf-stateless.inet4 1956727 1945680.5 1993461
ipf-stateless.inet6 1945202 1919208 1996472
ipfw-stateful.inet4 10688538 10614141 10770498
ipfw-stateful.inet6 9305108 9264605 9380045
ipfw-stateless.inet4 13389484 13193695 13416124
ipfw-stateless.inet6 11901994 11624320 11920478
pf-stateful.inet4 9592756 9469523 9670545.5
pf-stateful.inet6 8597823 8493044 8711921
pf-stateless.inet4 8475950.8 8423752.5 8488233
pf-stateless.inet6 7574032 7540248 7688515.5
