#index median minimum maximum
ipfw-stateful.100K 1669044 1662809.5 1673400
ipfw-stateful.10K 4948308 4919994 4962457
ipfw-stateful.1K 6735310 6720260.5 6748060.5
ipfw-stateful.1M 60700 59864 62350
ipfw-stateful.5K 5561722 5539764 5581617
ipfw-stateful.5M 34243 28286 37985
ipfw-stateful.64 3803966 3794903 3807975
pf-stateful.100K 3168747 3142058 3173233
pf-stateful.10K 3103308 3073623 3264567
pf-stateful.1K 3239815 2938458 3266773
pf-stateful.1M 3145941 3092765.5 3154873
pf-stateful.5K 3270256 2961536 3278006
pf-stateful.5M 3126339 3069219 3129823
pf-stateful.64 2481342 2457738 2509522
