# (revision)	median	minimum		maximum
276669 2242590 2134147 2285586.5
277034 2228320 2179598 2263957
277350 2158595 2129415 2244183
277717 2144234 2058398 2397216
278038 2114270.5 2037852.5 2243121
278477 2179665 2089023 2267459.5
278826 2219326 2103796.5 2259384
279189 2150474 2128414 2167627.5
279554 2155370.5 2073920.5 2247144.5
279828 2150295.5 2104872.5 2262366
280156 2214102 2120865.5 2247906
280357 2245918 2147019 2267517
280829 2234117 2079376 2273376.5
281121 2239611 2103929 2291567.5
281470 2206331.5 2130050 2250644.5
281752 2269395 2239626 2286459.5
282042 2191112 2083029.5 2236223.5
282369 2250494 2138592 2324023.5
282739 2211228 2152147.5 2286160.5
283035 2210239 2144815 2253431.5
283593 2221257.5 2125228 2237076
283841 2084070.5 2056428 2247302
284168 2145180.5 2078193.5 2267255
284739 927682 917791.5 935528
284916 2040528.5 2026912 2097360
285173 2048249 2029673.5 2052502
285433 2107167.5 2099635 2153345
285702 2204205.5 2060746 2231310
285903 2207450 2069721 2246655
286213 2156481 2019255.5 2371980.5
286556 2201836 2085264.5 2213102.5
286833 1976018 1928222 2141841.5
287083 2131046 1947575 2142098.5
287314 2002479 1927776 2099056.5
287525 2045748.5 1949488 2399964
287767 2122639.5 2056205 2153745.5
288046 2015466 1930176 2123003
288311 1977031.5 1929221.5 2127336
288671 2142989.5 1916588 2166461.5
289159 2141487.5 2001872.5 2222180
289550 2130129 1975733.5 2194487.5
289951 2103852.5 1981544 2132102
290245 2173479 2029754 2208716.5
290914 2017506 1961491 2176594
291164 2137113 1945983 2160712.5
291461 2134251 1948049 2208125.5
291909 1998577.5 1950013 2378773
292177 2421750.5 2025358.5 2441973.5
292519 2270463 2221651.5 2444873.5
292788 2215311 2180103 2240083.5
293120 1931515 1916966.5 2422661.5
