#index median minimum maximum
forwarding.inet4 10842076 10271817 11010559
forwarding.inet6 10067231 9809644 10070828
ipf-stateful.inet4 2078503 2033369 2110731
ipf-stateful.inet6 2072751 2018258 2098654
ipf-stateless.inet4 2969882 2963754.5 2983612
ipf-stateless.inet6 2984191 2957250 2996455
ipfw-stateful.inet4 6388923 6289396 6449958
ipfw-stateful.inet6 4051430 4041623 4068487
ipfw-stateless.inet4 8207129 8072543 8246108
ipfw-stateless.inet6 7613146 7334129 7689703
pf-stateful.inet4 3128326 3003677 3278886
pf-stateful.inet6 3149990 3109564 3253435
pf-stateless.inet4 3158771 2956273 3180957
pf-stateless.inet6 3198851 3133593 3252043
