#index median minimum maximum
forwarding.inet4 12124108 12116151 12187710
forwarding.inet6 12230354 12218374 12241656
ipfw-stateful.inet4 7447847 7269456 7489129
ipfw-stateful.inet6 7187565 6901710 7239320
ipfw-stateless.inet4 8456659 8196659 8883822.5
ipfw-stateless.inet6 9413939 9177110 9504245
pf-stateful.inet4 5930546 5885133 5956157
pf-stateful.inet6 5798508 5762227 5839930
pf-stateless.inet4 5387673 5199780 5421264
pf-stateless.inet6 5163136 5142609.5 5338475
ipf-stateful.inet4 792064 766005.5 795941
ipf-stateful.inet6 1287312 1282569.5 1312549
ipf-stateless.inet4 2957504 2947125 2970911
ipf-stateless.inet6 2940118.5 2935330.5 2946730
