#index median minimum maximum
forwarding.inet4 14817150 14817074 14817227
forwarding.inet6 14472429 14472052 14472594
ipfw-stateful.inet4 9570177.5 9546210 9595086
ipfw-stateful.inet6 7608853 7517696.5 7631729
ipfw-stateless.inet4 12242218 12211954 12291670
ipfw-stateless.inet6 11440732 11371816 11465984
pf-stateful.inet4 6230742.5 6211438 6284147
pf-stateful.inet6 6934617.5 6877743 6989118
pf-stateless.inet4 5484806.5 5377022 5533359
pf-stateless.inet6 5833094 5652777 6153620.5
ipf-stateful.inet4 758383.5 751282 769655
ipf-stateful.inet6 727936.5 709693 741653
ipf-stateless.inet4 2083497 2069488 2093011.5
ipf-stateless.inet6 2052943 2033193 2088830
