# (revision)	median	minimum		maximum
276669 1797274.5 1681711 2161205
277034 1729015.5 1713357.5 1841587
277350 1783238.5 1662814 1856554.5
277717 1852508 1682497.5 1872874
278038 1817543 1724835 1897604.5
278477 1698426.5 1668367.5 1895606.5
278826 1866212.5 1692846.5 1917401.5
279189 1770607.5 1757246.5 1772106
279554 1812497 1798178 1898813.5
279828 1740366 1713562.5 1890236
280156 1821012 1700128 1897313
280357 1848612 1685886 1862801
280829 1726703 1652723.5 2175058
281121 1828799.5 1783100.5 1932880.5
281470 1840438 1713452 1905117
281752 1843306 1728671.5 1911956.5
282042 1719566 1688047 1842302
282369 1844061 1779131.5 2136131.5
282739 1770107.5 1744589.5 1888643
283035 1880332.5 1712979.5 1927349.5
283593 1843162 1708936 2198133.5
283841 1723205 1678993.5 2129111
284168 1844021 1760132 2086989
284739 1087602.5 1081122 1093139.5
284916 1772584 1645364 1877925
285173 1751851 1732516 1768826
285433 1869079 1781956 1935545
285702 1745434 1675585.5 1833994.5
285903 1837561 1658096 1875258
286213 1740042 1614769 1839617
286556 1794666.5 1674112 1868338.5
286833 1722031 1628911.5 1823686
287083 1643281.5 1613458 1768482
287314 1773737 1648856.5 1784544
287525 1756444 1638356.5 1828397.5
287767 1746798 1599075 1783673.5
288046 1670421 1619468.5 1767378.5
288311 1793045.5 1621751 2058875
288671 1737244 1659119 1799788.5
289159 1791893 1735105.5 2104411
289550 1787400 1746890 2117829.5
289951 1771292 1600596.5 2078220.5
290245 1731896 1621275.5 2084470.5
290914 1669088 1637193 1889978.5
291164 1794905 1665864.5 2036677
291461 1810118 1632901 1860285
291909 1837938.5 1594502 2057129
292177 1857106 1660838 1888286.5
292519 1832178 1655845.5 2056342.5
292788 1626614 1594945 1814191.5
293120 1669698.5 1616016.5 1973814
