#index median minimum maximum
forwarding.inet4 5862690 5850748 5875430
forwarding.inet6 5766165 5763120.5 5782648
ipf-stateful.inet4 751532.5 712878 759357.5
ipf-stateful.inet6 825640 806479.5 834515
ipf-stateless.inet4 3078403.5 3063167 3102704.5
ipf-stateless.inet6 2941065 2931864 2944362.5
ipfw-stateful.inet4 4444496.5 4391351.5 4453230.5
ipfw-stateful.inet6 2305093 2304143.5 2322085.5
ipfw-stateless.inet4 5535348.5 5406255.5 5623279
ipfw-stateless.inet6 5341717.5 5332008 5374330.5
pf-stateful.inet4 3114437 3098072 3155159
pf-stateful.inet6 3093197 3020552.5 3113965.5
pf-stateless.inet4 3065722.5 3006050 3144445.5
pf-stateless.inet6 3029070.5 2997835.5 3068143.5
