#index median minimum maximum
forwarding.inet4 11405000 11404063 11447588
forwarding.inet6 11309206 11302764 11319744
ipf-stateful.inet4 826842 782766 828603
ipf-stateful.inet6 1279123 1267060.5 1286537.5
ipf-stateless.inet4 2953956 2945312 2959159
ipf-stateless.inet6 2935779 2927988 2947066
ipfw-stateful.inet4 7975370.5 7931881 8032528
ipfw-stateful.inet6 7592312.5 7442371.5 7814474
ipfw-stateless.inet4 9533573 9390362 9827915
ipfw-stateless.inet6 9495786.5 9459673.5 9821783.5
pf-stateful.inet4 5939958 5904201 6028679
pf-stateful.inet6 5818455 5692311 5839301
pf-stateless.inet4 5459859 5340383.5 5491520
pf-stateless.inet6 5196089 5082987 5344326.5
