#index median minimum maximum
forwarding.inet4 14817132 14816752 14817259
forwarding.inet6 14472408 14472328 14472521
ipfw-stateful.inet4 9620385 9589534 9625616
ipfw-stateful.inet6 9629814 9542094 9670449.5
ipfw-stateless.inet4 13938688 13843102 13973182
ipfw-stateless.inet6 12867282 12777595 13046829
pf-stateful.inet4 8465469.5 8457872 8632433
pf-stateful.inet6 8491999 8387039 8609585
pf-stateless.inet4 8479307 8445033 8488884.5
pf-stateless.inet6 8479803 8450661 8521735
ipf-stateful.inet4 757873.5 732668 762158
ipf-stateful.inet6 717998 697871 741346
ipf-stateless.inet4 2078615 2033193.5 2095046
ipf-stateless.inet6 2061806 2043101 2082761
