#index median minimum maximum
forwarding.inet4 14793058 14787820 14796123
forwarding.inet6 14470089 14467922 14470456
ipf-stateful.inet4 1228817 1158363 1272370
ipf-stateful.inet6 1228410.5 1184413.5 1248631.5
ipf-stateless.inet4 1773209 1704890 1855250
ipf-stateless.inet6 1784269 1682724.5 1854148
ipfw-stateful.inet4 8223793 8201627 8267744
ipfw-stateful.inet6 4961144.5 4947831.5 4969494
ipfw-stateless.inet4 14783328 14778559 14786246
ipfw-stateless.inet6 13325050 13199834 13385650
pf-stateful.inet4 1854904 1671483 2051174.5
pf-stateful.inet6 1604865.5 1583377 1912456
pf-stateless.inet4 1902061 1725019 1984128
pf-stateless.inet6 1856559 1716714 1955984.5
