#index median minimum maximum
forwarding.inet4 14773002 14768241 14774302
forwarding.inet6 14427824 14426024 14429990
ipf-stateful.inet4 610096 586577 611652
ipf-stateful.inet6 609354 597519 619392
ipf-stateless.inet4 1513016 1481106 1565980
ipf-stateless.inet6 1452668.5 1426545 1503064
ipfw-stateful.inet4 10363403 10339106 10393235
ipfw-stateful.inet6 9015260 8942469 9032446
ipfw-stateless.inet4 12298208 12279160 12313592
ipfw-stateless.inet6 11250356 11214838 11303747
pf-stateful.inet4 8968086 8949084 8985004
pf-stateful.inet6 8282870 8240133 8314665.5
pf-stateless.inet4 8245773.5 8238220.5 8265402
pf-stateless.inet6 7715345 7699439 7738180
