#index median minimum maximum
1 1795463 1776679 1797473
2 3433246 3399102 3448890
3 3161643.5 3141898 3178825
4 6646535 6619896 6660347
5 4947752 4921409 4960299.5
6 6370168 6303021 6388322
7 6815593 6684150.5 6882819
8-dft 13588802 13450564 13921025
9 8673832 8568185 8726852
10 9834708.5 9770771 10129666
11 9852848 9833909 9933651.5
12 11909785 11563808 12615374
13 7234497 7217986 7238739.5
14 7877640 7834915 7913798.5
15 9465460 9442744 9522994
16 14807729 14800255 14809860
17 12096984 11992549 12187047
18 12813790 12790476 13029468
19 12548401 12505391 12551965
20 14793536 14785031 14795469
21 14606441 14593715 14641811
22 14703851 14702310 14709330
23 14765390 14759958 14770205
24 14763018 14760304 14763637
