#index median minimum maximum
forwarding.inet4 9843472 9811031 9853825.5
forwarding.inet6 9850586.5 9840602 9854246
ipf-stateful.inet4 599749 587122 628874.5
ipf-stateful.inet6 628989 600369 636039
ipf-stateless.inet4 1433801 1408032 1510003.5
ipf-stateless.inet6 1418745.5 1374460.5 1501319
ipfw-stateful.inet4 9677536 9475522 9710448
ipfw-stateful.inet6 9516611 8632495 9564165
ipfw-stateless.inet4 9787304 9763069 9815903
ipfw-stateless.inet6 9749165 9721729 9763671
pf-stateful.inet4 9352889 9341836 9393502
pf-stateful.inet6 9170745 9140001 9198890
pf-stateless.inet4 9161460 9133059 9181453
pf-stateless.inet6 8941136 8291706.5 9047339
