#index median minimum maximum
1 815943 808316 828492
2 1718846 1710587 1966621
3 1887444 1858867 1893676
4 3335024 3215863 3600876
5 2973294 2927774 3049145
6 3302831 3233158 3666493
7 3696608 3578738 3984476
8 6458356 6269474 6853620
9 4859827 4841146 4862630
10 5382838 5304578 5405902
11 5813681 5798076 5824985
12 6519269 6506012 6535837
13 6501173 6474972 6514201
14 6882037 6827140 6918142
15 7086939 7008544 7105550
16 9706358 9700977 9791559
17 7525069 7203212 7531351
18 7703343 7658363 7760138
19 7525251 7493343 7617164
20 7844665 7795095 7853833
21 7498285 7399455 7540936
22 7550750 7495464 7560802
23 7301215 7202038 7365290
24 8025362 8014964 8520792.5
