#index median minimum maximum
forwarding.inet4 14819062 14819047 14819306
forwarding.inet6 14160087 14155749 14163474
ipfw-stateful.inet4 12964576 12084588 13060076
ipfw-stateful.inet6 11735977 11692278 11775461
ipfw-stateless.inet4 13770606 13734057 14655837
ipfw-stateless.inet6 13260142 13228850 13276186
pf-stateful.inet4 3122939 2647943 3250609
pf-stateful.inet6 2795616 2581324 3096036
pf-stateless.inet4 2463624 2157480 2524272
pf-stateless.inet6 2263487.5 2098652.5 2666267
ipf-stateful.inet4 453921 410971 499165
ipf-stateful.inet6 976874 921869 991349
ipf-stateless.inet4 1706844 1672621 1740887
ipf-stateless.inet6 1845115 1810826 1891642
