#index median minimum maximum
forwarding.inet4 14774668 14771057 14782108
forwarding.inet6 13950864 13931438 13959762
ipf-stateful.inet4 509917.5 488813 516763.5
ipf-stateful.inet6 556961.5 526467 565301
ipf-stateless.inet4 1355756.5 1327904 1371387
ipf-stateless.inet6 1418788.5 1386842 1436426
ipfw-stateful.inet4 14315079 14233454 14329311
ipfw-stateful.inet6 12133220 12117846 12158960
ipfw-stateless.inet4 14605578 14598754 14607868
ipfw-stateless.inet6 13151380 13146128 13154570
pf-stateful.inet4 2141016 2039541 2464132
pf-stateful.inet6 2120974.5 2088178 2466569.5
pf-stateless.inet4 1907852 1814558 2200298.5
pf-stateless.inet6 1788262 1663957.5 2126322
