#index median minimum maximum
forwarding.inet4 14775654 14775363 14776045
forwarding.inet6 14132126 14008436 14248992
ipf-stateful.inet4 394874.5 368498 413048
ipf-stateful.inet6 427535 417769 441991.5
ipf-stateless.inet4 831323 815413.5 858432
ipf-stateless.inet6 830333.5 778034 899290.5
ipfw-stateful.inet4 13798480 13766503 13825864
ipfw-stateful.inet6 12074466 11889970 12127834
ipfw-stateless.inet4 14775624 14775085 14776746
ipfw-stateless.inet6 13402511 13383424 13419584
pf-stateful.inet4 11819360 11754964 11849776
pf-stateful.inet6 10872060 10773943 10999076
pf-stateless.inet4 11802679 11762826 11867435
pf-stateless.inet6 10884919 10750148 10986493
