#index median minimum maximum
forwarding.inet4 27557123 27471173 27599056
forwarding.inet6 27916416 27875558 27961723
ipfw-stateful.inet4 20072394 20055565 20094851
ipfw-stateful.inet6 18114322 18068859 18136743
ipfw-stateless.inet4 22789318 22780919 22882358
ipfw-stateless.inet6 22271405 22196787 22392828
pf-stateful.inet4 8489397 8239062 8544548
pf-stateful.inet6 8173436.5 7323213 8487597
pf-stateless.inet4 6116779 5917995.5 6765449
pf-stateless.inet6 6304901 6219205 6572374.5
ipf-stateful.inet4 855234 826143 873326
ipf-stateful.inet6 1586544.5 1546076.5 1690680
ipf-stateless.inet4 2470245 2426815.5 2479789
ipf-stateless.inet6 2445880 2417147.5 2452039
