#index median minimum maximum
forwarding.inet4 29655610 29469451 29742513
forwarding.inet6 28981564 28829091 29104543
ipf-stateful.inet4 643164 617645 669121
ipf-stateful.inet6 713256 670506 731280
ipf-stateless.inet4 1454233 1420937.5 1485031
ipf-stateless.inet6 1457560.5 1426833 1538521.5
ipfw-stateful.inet4 23564370 23464640 23577576
ipfw-stateful.inet6 20186928 20116562 20203574
ipfw-stateless.inet4 27623237 27331728 27662563
ipfw-stateless.inet6 22777062 22694359 22836726
pf-stateful.inet4 20701705 20624674 20755671
pf-stateful.inet6 18342298 18160155 18419171
pf-stateless.inet4 18795241 18769691 18811534
pf-stateless.inet6 16467297 16373641 16571801
