#index median minimum maximum
forwarding.inet4 28821627 28605611 29018371
forwarding.inet6 26924831 26774810 27058354
ipf-stateful.inet4 619218.5 609337.5 652751
ipf-stateful.inet6 618506 605135 639638
ipf-stateless.inet4 1451388 1383771 1487404
ipf-stateless.inet6 1438843 1412039 1483147.5
ipfw-stateful.inet4 15283561 15129941 15310519
ipfw-stateful.inet6 11940322 11705187 11974176
ipfw-stateless.inet4 18556086 18370315 18643575
ipfw-stateless.inet6 15347687 15316994 15594613
pf-stateful.inet4 12885927 12774282 13070464
pf-stateful.inet6 11106189 10941378 11364398
pf-stateless.inet4 10500512 10475224 10639880
pf-stateless.inet6 9602071 9388175 9653582
