#index median minimum maximum
MAIN_n268154.forwarding.inet4 29090342 29048619 29120288
MAIN_n268154.forwarding.inet6 27643505 27578369 27732120
MAIN_n268154.ipf-stateful.inet4 621326 597261 640212
MAIN_n268154.ipf-stateful.inet6 628050 607445 640864
MAIN_n268154.ipf-stateless.inet4 1433508.5 1394087 1445062
MAIN_n268154.ipf-stateless.inet6 1401170 1369207 1408747.5
MAIN_n268154.ipfw-stateful.inet4 13893680 13587740 14660266
MAIN_n268154.ipfw-stateful.inet6 11943927 11770033 12045646
MAIN_n268154.ipfw-stateless.inet4 18193256 18070269 18502947
MAIN_n268154.ipfw-stateless.inet6 15804766 15617691 16027094
MAIN_n268154.pf-stateful.inet4 13648817 13561145 15102932
MAIN_n268154.pf-stateful.inet6 11951748 11830016 12006248
MAIN_n268154.pf-stateless.inet4 11375250 11325704 11547108
MAIN_n268154.pf-stateless.inet6 9370695 9323258 9386685.5
