#index median minimum maximum
STABLE13.forwarding.inet4 26978078 22 27217122
STABLE13.forwarding.inet6 26824165 26569904 27063426
STABLE13.ipf-stateful.inet4 639750 622377 658742.5
STABLE13.ipf-stateful.inet6 648492 629855 659030
STABLE13.ipf-stateless.inet4 1450751 1398721 1466909
STABLE13.ipf-stateless.inet6 1423009 1396612.5 1469048
STABLE13.ipfw-stateful.inet4 13787662 13498056 13937430
STABLE13.ipfw-stateful.inet6 11633179 10670531 11926040
STABLE13.ipfw-stateless.inet4 16706170 16489275 16739783
STABLE13.ipfw-stateless.inet6 13255111 13146048 15291242
STABLE13.pf-stateful.inet4 12677480 12223795 12723082
STABLE13.pf-stateful.inet6 11776232 10808346 11893096
STABLE13.pf-stateless.inet4 10542491 10309062 10802570
STABLE13.pf-stateless.inet6 8625819 8070898 9352773.5
