#index median minimum maximum
MAIN_n268154.forwarding.inet4 29090342 29048619 29120288
MAIN_n268154.forwarding.inet6 27643505 27578369 27732120
MAIN_n268154.ipf-stateful.inet4 621326 597261 640212
MAIN_n268154.ipf-stateful.inet6 628050 607445 640864
MAIN_n268154.ipf-stateless.inet4 1433508.5 1394087 1445062
MAIN_n268154.ipf-stateless.inet6 1401170 1369207 1408747.5
MAIN_n268154.ipfw-stateful.inet4 13893680 13587740 14660266
MAIN_n268154.ipfw-stateful.inet6 11943927 11770033 12045646
MAIN_n268154.ipfw-stateless.inet4 18193256 18070269 18502947
MAIN_n268154.ipfw-stateless.inet6 15804766 15617691 16027094
MAIN_n268154.pf-stateful.inet4 13648817 13561145 15102932
MAIN_n268154.pf-stateful.inet6 11951748 11830016 12006248
MAIN_n268154.pf-stateless.inet4 11375250 11325704 11547108
MAIN_n268154.pf-stateless.inet6 9370695 9323258 9386685.5
STABLE12.forwarding.inet4 24854170 24750217 24987843
STABLE12.forwarding.inet6 24466188 24278724 24796012
STABLE12.ipf-stateful.inet4 615597 602972 637656
STABLE12.ipf-stateful.inet6 619397 614130.5 626429
STABLE12.ipf-stateless.inet4 1410844 1381614.5 1459383
STABLE12.ipf-stateless.inet6 1409122 1390831 1461687
STABLE12.ipfw-stateful.inet4 14927820 14713248 15024747
STABLE12.ipfw-stateful.inet6 13396291 12627932 13706672
STABLE12.ipfw-stateless.inet4 17047150 17001876 17080068
STABLE12.ipfw-stateless.inet6 15204726 14797624 15365420
STABLE12.pf-stateful.inet4 13100052 13001601 13301532
STABLE12.pf-stateful.inet6 11613500 11508971 11703338
STABLE12.pf-stateless.inet4 11612774 11379676 11733672
STABLE12.pf-stateless.inet6 9665612 9545254 9801647
STABLE13.forwarding.inet4 27145666 26317649 27219814
STABLE13.forwarding.inet6 26824165 26569904 27063426
STABLE13.ipf-stateful.inet4 639750 622377 658742.5
STABLE13.ipf-stateful.inet6 648492 629855 659030
STABLE13.ipf-stateless.inet4 1450751 1398721 1466909
STABLE13.ipf-stateless.inet6 1423009 1396612.5 1469048
STABLE13.ipfw-stateful.inet4 13787662 13498056 13937430
STABLE13.ipfw-stateful.inet6 11633179 10670531 11926040
STABLE13.ipfw-stateless.inet4 16706170 16489275 16739783
STABLE13.ipfw-stateless.inet6 13255111 13146048 15291242
STABLE13.pf-stateful.inet4 12677480 12223795 12723082
STABLE13.pf-stateful.inet6 11776232 10808346 11893096
STABLE13.pf-stateless.inet4 10542491 10309062 10802570
STABLE13.pf-stateless.inet6 8625819 8070898 9352773.5
