#index median minimum maximum
forwarding.inet4 32642730 30399383 32654048
forwarding.inet6 27558696 27544086 27586831
ipfw-stateful.inet4 21342908 19697348 21407430
ipfw-stateful.inet6 18433752 18321630 18612608
ipfw-stateless.inet4 25326018 22999445 25338510
ipfw-stateless.inet6 24380367 24335150 24420946
pf-stateful.inet4 8026134 6877066.5 8186121
pf-stateful.inet6 7529930 6860449.5 8138036
pf-stateless.inet4 6734700 6091527 6774563
pf-stateless.inet6 6837441 6242191 6887019
ipf-stateful.inet4 814526 796196 823830.5
ipf-stateful.inet6 1590629.5 1534480 1611657
ipf-stateless.inet4 2474753 2456906 2486386
ipf-stateless.inet6 2457387 2418540.5 2463735
