#index median minimum maximum
forwarding.inet4 33250452 33229455 33282250
forwarding.inet6 32388458 32375092 32402935
ipfw-stateful.inet4 23412411 23373892 23442341
ipfw-stateful.inet6 21226895 21175025 21279274
ipfw-stateless.inet4 27656534 27607917 27672176
ipfw-stateless.inet6 26035268 25871364 26091422
pf-stateful.inet4 9343981 9312128 9567372.5
pf-stateful.inet6 9291301.5 8875743 9498532.5
pf-stateless.inet4 7133400.5 6635028 7425080.5
pf-stateless.inet6 7231179 6069725 7348457.5
ipf-stateful.inet4 648289 633142 657483.5
ipf-stateful.inet6 710722 684106 723446
ipf-stateless.inet4 1427599 1414800 1458694
ipf-stateless.inet6 1412884.5 1385604.5 1459980.5
