#index median minimum maximum
MAIN_n268154.inet4 30408798 30214599 30558470
MAIN_n268154.inet6 30619234 30493652 30647868
RELEASE12_n244468.inet4 32434589 32367410 32469461
RELEASE12_n244468.inet6 31682776 31124324 31738558
RELEASE13_n244468.inet4 29325907 28622928 30586160
RELEASE13_n244468.inet6 29919720 29742334 30058276
STABLE12_n244468.inet4 31885042 31593045 31939491
STABLE12_n244468.inet6 28934408 28830674 29033528
STABLE13_n265892.inet4 29223296 29021739 29508322
STABLE13_n265892.inet6 30660439 30251431 30733598
