#index median minimum maximum
MAIN_n268154.forwarding.inet4 30408798 30214599 30558470
MAIN_n268154.forwarding.inet6 30619234 30493652 30647868
MAIN_n268154.ipfw-stateful.inet4 22241269 21400588 22512270
MAIN_n268154.ipfw-stateful.inet6 18936348 18852748 19080585
MAIN_n268154.ipfw-stateless.inet4 26992305 26953336 27030413
MAIN_n268154.ipfw-stateless.inet6 22812874 22503898 23244320
MAIN_n268154.pf-stateful.inet4 19070951 19017950 19167008
MAIN_n268154.pf-stateful.inet6 18383382 18291554 18409186
MAIN_n268154.pf-stateless.inet4 17633636 17601186 17716213
MAIN_n268154.pf-stateless.inet6 16991736 16974244 17038360
RELEASE12_n244468.forwarding.inet4 32434589 32367410 32469461
RELEASE12_n244468.forwarding.inet6 31682776 31124324 31738558
RELEASE12_n244468.ipfw-stateful.inet4 21249307 21104009 21545248
RELEASE12_n244468.ipfw-stateful.inet6 20043298 19881266 20187986
RELEASE12_n244468.ipfw-stateless.inet4 24935633 24809341 25164089
RELEASE12_n244468.ipfw-stateless.inet6 24388716 24348916 24651640
RELEASE12_n244468.pf-stateful.inet4 9206363.5 8774524 9277318
RELEASE12_n244468.pf-stateful.inet6 9213384 9103434 9381536
RELEASE12_n244468.pf-stateless.inet4 7047358 6366846 7332137
RELEASE12_n244468.pf-stateless.inet6 7011198.5 6251151.5 7352582
RELEASE13_n244468.forwarding.inet4 29325907 28622928 30586160
RELEASE13_n244468.forwarding.inet6 29919720 29742334 30058276
RELEASE13_n244468.ipfw-stateful.inet4 19514182 19253455 19706926
RELEASE13_n244468.ipfw-stateful.inet6 18662010 18607910 18727323
RELEASE13_n244468.ipfw-stateless.inet4 24926671 24839971 25015289
RELEASE13_n244468.ipfw-stateless.inet6 22697214 22635565 22735658
RELEASE13_n244468.pf-stateful.inet4 17909274 17562558 17998128
RELEASE13_n244468.pf-stateful.inet6 17483757 17060088 17771519
RELEASE13_n244468.pf-stateless.inet4 17250284 16971282 17429501
RELEASE13_n244468.pf-stateless.inet6 16789819 16524278 17252124
STABLE12_n244468.forwarding.inet4 31885042 31593045 31939491
STABLE12_n244468.forwarding.inet6 28934408 28830674 29033528
STABLE12_n244468.ipfw-stateful.inet4 21301116 21239578 21348277
STABLE12_n244468.ipfw-stateful.inet6 19971336 19858706 20015866
STABLE12_n244468.ipfw-stateless.inet4 24721330 24039066 24843390
STABLE12_n244468.ipfw-stateless.inet6 24227860 24165428 24376848
STABLE12_n244468.pf-stateful.inet4 18486343 18366003 18662109
STABLE12_n244468.pf-stateful.inet6 18520106 18344538 18586292
STABLE12_n244468.pf-stateless.inet4 16810045 16214125 16829113
STABLE12_n244468.pf-stateless.inet6 16811441 16754813 16947755
STABLE13_n265892.forwarding.inet4 29223296 29021739 29508322
STABLE13_n265892.forwarding.inet6 30660439 30251431 30733598
STABLE13_n265892.ipfw-stateful.inet4 20031521 19877270 20089529
STABLE13_n265892.ipfw-stateful.inet6 18812345 18627190 18945122
STABLE13_n265892.ipfw-stateless.inet4 25654968 25473603 25687378
STABLE13_n265892.ipfw-stateless.inet6 22869971 22813070 22914508
STABLE13_n265892.pf-stateful.inet4 18609378 18537085 18699453
STABLE13_n265892.pf-stateful.inet6 18439050 18313030 18472666
STABLE13_n265892.pf-stateless.inet4 17244617 17185188 17275847
STABLE13_n265892.pf-stateless.inet6 17033456 17027648 17073196
